product_name,previous_unit_price,current_price,percentage_increase
Queso Cabrales,14,21,50
Singaporean Hokkien Fried Mee,9.8,14,42.85713434
Rogede sild,7.6,7.6,0
Carnarvon Tigers,50,50,0
Boston Crab Meat,14.7,14.7,0
Tofu,18.6,18.6,0
Genen Shouyu,12.4,12.4,0
Gudbrandsdalsost,28.8,28.8,0
Röd Kaviar,12,12,0
Gnocchi di nonna Alice,30.4,30.4,0
Teatime Chocolate Biscuits,7.3,7.3,0
Côte de Blaye,210.8,210.8,0
Jack's New England Clam Chowder,7.7,7.7,0
Perth Pasties,26.2,26.2,0
Pâté chinois,19.2,19.2,0
Scottish Longbreads,10,10,0
Uncle Bob's Organic Dried Pears,24,24,0
Tourtière,5.9,5.9,0
Zaanse koeken,7.6,7.6,0
Rhönbräu Klosterbier,6.2,6.2,0
Tarte au sucre,39.4,39.4,0
Flotemysost,17.2,17.2,0
Camembert Pierrot,27.2,27.2,0
Original Frankfurter grüne Soße,10.4,10.4,0
Spegesild,9.6,9.6,0
Louisiana Hot Spiced Okra,13.6,13.6,0
Ipoh Coffee,36.8,36.8,0
Valkoinen suklaa,13,13,0
Guaraná Fantástica,3.6,3.6,0
Grandma's Boysenberry Spread,20,20,0
Nord-Ost Matjeshering,20.7,20.7,0
Escargots de Bourgogne,10.6,10.6,0
Thüringer Rostbratwurst,99,99,0
Laughing Lumberjack Lager,11.2,11.2,0
Vegie-spread,35.1,35.1,0
Chai,14.4,14.4,0
Sasquatch Ale,11.2,11.2,0
Wimmers gute Semmelknödel,26.6,26.6,0
Gustaf's Knäckebröd,16.8,16.8,0
Chocolade,10.2,10.2,0
Longlife Tofu,8,8,0
Mozzarella di Giovanni,34.8,34.8,0
Queso Cabrales,14,14,0
Gula Malacca,15.5,15.5,0
Pavlova,13.9,13.9,0
Mascarpone Fabioli,25.6,25.6,0
NuNuCa Nuß-Nougat-Creme,11.2,11.2,0
Gravad lax,20.8,20.8,0
Maxilaku,16,16,0
Gumbär Gummibärchen,24.9,24.9,0
Mishi Kobe Niku,77.6,77.6,0
Queso Manchego La Pastora,30.4,30.4,0
Geitost,2,2,0
Rössle Sauerkraut,36.4,36.4,0
Sir Rodney's Marmalade,64.8,64.8,0
Singaporean Hokkien Fried Mee,9.8,9.8,0
Sirop d'érable,22.8,22.8,0
Northwoods Cranberry Sauce,32,32,0
Aniseed Syrup,8,8,0
Steeleye Stout,14.4,14.4,0
Tunnbröd,7.2,7.2,0
Outback Lager,12,12,0
Ravioli Angelo,15.6,15.6,0
Chang,15.2,15.2,0
Sir Rodney's Scones,8,8,0
Gorgonzola Telino,10,10,0
Filo Mix,5.6,5.6,0
Schoggi Schokolade,35.1,35.1,0
Konbu,4.8,4.8,0
Chef Anton's Cajun Seasoning,17.6,17.6,0
Ikura,24.8,24.8,0
Louisiana Fiery Hot Pepper Sauce,16.8,16.8,0
Alice Mutton,31.2,31.2,0
Chef Anton's Gumbo Mix,17,17,0
Manjimup Dried Apples,42.4,42.4,0
Inlagd Sill,15.2,15.2,0
Lakkalikööri,14.4,14.4,0
Raclette Courdavault,44,44,0
Chartreuse verte,14.4,14.4,0
Mozzarella di Giovanni,34.8,27.8,-20.1149404
