category_name,product_name,unit_price,median_per_category,average_unit_price,average_unit_price_position,median_unit_price_position
Beverages,Guaraná Fantástica,4.5,18,37.97916667,Below Average,Below Median
Beverages,Ipoh Coffee,46,18,37.97916667,Over Average,Over Median
Beverages,Chartreuse verte,18,18,37.97916667,Below Average,Over Median
Beverages,Côte de Blaye,263.5,18,37.97916667,Over Average,Over Median
Beverages,Steeleye Stout,18,18,37.97916667,Below Average,Over Median
Beverages,Sasquatch Ale,14,18,37.97916667,Below Average,Below Median
Beverages,Lakkalikööri,18,18,37.97916667,Below Average,Over Median
Beverages,Rhönbräu Klosterbier,7.75,18,37.97916667,Below Average,Below Median
Beverages,Outback Lager,15,18,37.97916667,Below Average,Below Median
Beverages,Chai,18,18,37.97916667,Below Average,Over Median
Beverages,Laughing Lumberjack Lager,14,18,37.97916667,Below Average,Below Median
Beverages,Chang,19,18,37.97916667,Below Average,Over Median
Condiments,Gula Malacca,19.45,21.05,22.85416683,Below Average,Below Median
Condiments,Original Frankfurter grüne Soße,13,21.05,22.85416683,Below Average,Below Median
Condiments,Northwoods Cranberry Sauce,40,21.05,22.85416683,Over Average,Over Median
Condiments,Louisiana Hot Spiced Okra,17,21.05,22.85416683,Below Average,Below Median
Condiments,Genen Shouyu,13,21.05,22.85416683,Below Average,Below Median
Condiments,Grandma's Boysenberry Spread,25,21.05,22.85416683,Over Average,Over Median
Condiments,Louisiana Fiery Hot Pepper Sauce,21.05,21.05,22.85416683,Below Average,Over Median
Condiments,Vegie-spread,43.9,21.05,22.85416683,Over Average,Over Median
Condiments,Aniseed Syrup,10,21.05,22.85416683,Below Average,Below Median
Condiments,Chef Anton's Cajun Seasoning,22,21.05,22.85416683,Below Average,Over Median
Condiments,Chef Anton's Gumbo Mix,21.35,21.05,22.85416683,Below Average,Over Median
Condiments,Sirop d'érable,28.5,21.05,22.85416683,Over Average,Over Median
Confections,Scottish Longbreads,12.5,16.25,25.16000007,Below Average,Below Median
Confections,Pavlova,17.45,16.25,25.16000007,Below Average,Over Median
Confections,Teatime Chocolate Biscuits,9.2,16.25,25.16000007,Below Average,Below Median
Confections,Sir Rodney's Marmalade,81,16.25,25.16000007,Over Average,Over Median
Confections,Sir Rodney's Scones,10,16.25,25.16000007,Below Average,Below Median
Confections,NuNuCa Nuß-Nougat-Creme,14,16.25,25.16000007,Below Average,Below Median
Confections,Gumbär Gummibärchen,31.23,16.25,25.16000007,Over Average,Over Median
Confections,Schoggi Schokolade,43.9,16.25,25.16000007,Over Average,Over Median
